County Name,FIPS,Deaths,Population,Mortality Rate (Deaths/100000)
"Anderson","48001","737","57805","1275.0"
"Andrews","48003","156","18879","826.3"
"Angelina","48005","1162","86796","1338.8"
"Aransas","48007","438","23814","1839.3"
"Archer","48009","89","8730","1019.5"
"Armstrong","48011","38","1869","2033.2"
"Atascosa","48013","573","51724","1107.8"
"Austin","48015","324","29972","1081.0"
"Bailey","48017","75","6697","1119.9"
"Bandera","48019","312","23861","1307.6"
"Bastrop","48021","826","91601","901.7"
"Baylor","48023","69","3518","1961.3"
"Bee","48025","321","32513","987.3"
"Bell","48027","2833","369927","765.8"
"Bexar","48029","16703","2026823","824.1"
"Blanco","48031","133","12269","1084.0"
"Bosque","48035","334","18603","1795.4"
"Bowie","48037","1243","93481","1329.7"
"Brazoria","48039","2882","380518","757.4"
"Brazos","48041","1347","232555","579.2"
"Brewster","48043","103","9237","1115.1"
"Briscoe","48045","28","1487","1883.0"
"Brooks","48047","117","6964","1680.1"
"Brown","48049","671","37633","1783.0"
"Burleson","48051","257","18514","1388.1"
"Burnet","48053","592","49653","1192.3"
"Caldwell","48055","482","43979","1096.0"
"Calhoun","48057","253","21001","1204.7"
"Callahan","48059","234","14110","1658.4"
"Cameron","48061","4243","424180","1000.3"
"Camp","48063","201","13060","1539.1"
"Carson","48065","97","5854","1657.0"
"Cass","48067","541","29879","1810.6"
"Castro","48069","87","7396","1176.3"
"Chambers","48071","386","45590","846.7"
"Cherokee","48073","687","52875","1299.3"
"Childress","48075","86","7143","1204.0"
"Clay","48077","147","10550","1393.4"
"Cochran","48079","37","2897","1277.2"
"Coke","48081","62","3323","1865.8"
"Coleman","48083","152","8100","1876.5"
"Collin","48085","5722","1072069","533.7"
"Collingsworth","48087","48","2877","1668.4"
"Colorado","48089","306","21610","1416.0"
"Comal","48091","1614","164812","979.3"
"Comanche","48093","238","13750","1730.9"
"Concho","48095","34","2827","1202.7"
"Cooke","48097","491","41393","1186.2"
"Coryell","48099","612","76737","797.5"
"Cottle","48101","35","1363","2567.9"
"Crane","48103","48","4765","1007.3"
"Crockett","48105","61","3513","1736.4"
"Crosby","48107","97","5567","1742.4"
"Culberson","48109","36","2149","1675.2"
"Dallam","48111","80","7273","1100.0"
"Dallas","48113","20071","2635888","761.5"
"Dawson","48115","193","12974","1487.6"
"Deaf Smith","48117","206","18277","1127.1"
"Delta","48119","90","5349","1682.6"
"Denton","48121","4864","919324","529.1"
"DeWitt","48123","304","20174","1506.9"
"Dickens","48125","42","2140","1962.6"
"Dimmit","48127","107","9925","1078.1"
"Donley","48129","55","3308","1662.6"
"Duval","48131","137","11058","1238.9"
"Eastland","48133","279","18388","1517.3"
"Ector","48135","1629","167701","971.4"
"Edwards","48137","34","1923","1768.1"
"Ellis","48139","1675","191760","873.5"
"El Paso","48141","8436","841286","1002.8"
"Erath","48143","365","43224","844.4"
"Falls","48145","199","17275","1152.0"
"Fannin","48147","493","35913","1372.8"
"Fayette","48149","378","25547","1479.6"
"Fisher","48151","70","3784","1849.9"
"Floyd","48153","110","5672","1939.4"
"Foard","48155","31","1135","2731.3"
"Fort Bend","48157","4565","839706","543.6"
"Franklin","48159","160","10821","1478.6"
"Freestone","48161","281","19874","1413.9"
"Frio","48163","191","20379","937.2"
"Gaines","48165","167","21996","759.2"
"Galveston","48167","3347","345089","969.9"
"Garza","48169","67","6222","1076.8"
"Gillespie","48171","389","26960","1442.9"
"Glasscock","48173","10","1439","Unreliable"
"Goliad","48175","75","7626","983.5"
"Gonzales","48177","260","20948","1241.2"
"Gray","48179","296","21658","1366.7"
"Grayson","48181","1795","138318","1297.7"
"Gregg","48183","1642","124229","1321.8"
"Grimes","48185","355","29614","1198.8"
"Guadalupe","48187","1380","170608","808.9"
"Hale","48189","454","32754","1386.1"
"Hall","48191","53","2939","1803.3"
"Hamilton","48193","122","8557","1425.7"
"Hansford","48195","58","5279","1098.7"
"Hardeman","48197","76","4011","1894.8"
"Hardin","48199","670","58305","1149.1"
"Harris","48201","32986","4738253","696.2"
"Harrison","48203","789","66386","1188.5"
"Hartley","48205","54","5443","992.1"
"Haskell","48207","84","5754","1459.9"
"Hays","48209","1348","241365","558.5"
"Hemphill","48211","24","3777","635.4"
"Henderson","48213","1326","83792","1582.5"
"Hidalgo","48215","7272","875200","830.9"
"Hill","48217","527","37006","1424.1"
"Hockley","48219","324","22921","1413.6"
"Hood","48221","903","63527","1421.4"
"Hopkins","48223","524","37170","1409.7"
"Houston","48225","356","22835","1559.0"
"Howard","48227","467","36540","1278.1"
"Hudspeth","48229","39","4906","794.9"
"Hunt","48231","1165","99807","1167.3"
"Hutchinson","48233","318","20677","1537.9"
"Irion","48235","19","1564","Unreliable"
"Jack","48237","104","9056","1148.4"
"Jackson","48239","184","14854","1238.7"
"Jasper","48241","531","35375","1501.1"
"Jeff Davis","48243","29","2220","1306.3"
"Jefferson","48245","2970","250127","1187.4"
"Jim Hogg","48247","60","5184","1157.4"
"Jim Wells","48249","495","40452","1223.7"
"Johnson","48251","1839","179575","1024.1"
"Jones","48253","263","19875","1323.3"
"Karnes","48255","189","15562","1214.5"
"Kaufman","48257","1283","143198","896.0"
"Kendall","48259","457","48523","941.8"
"Kent","48263","17","786","Unreliable"
"Kerr","48265","831","52869","1571.8"
"Kimble","48267","65","4396","1478.6"
"Kinney","48271","47","3670","1280.7"
"Kleberg","48273","349","30338","1150.4"
"Knox","48275","75","3683","2036.4"
"Lamar","48277","791","49905","1585.0"
"Lamb","48279","225","12710","1770.3"
"Lampasas","48281","286","21789","1312.6"
"La Salle","48283","78","7500","1040.0"
"Lavaca","48285","319","20216","1578.0"
"Lee","48287","227","17397","1304.8"
"Leon","48289","252","17493","1440.6"
"Liberty","48291","888","91547","970.0"
"Limestone","48293","338","23340","1448.2"
"Lipscomb","48295","36","3111","1157.2"
"Live Oak","48297","157","12324","1273.9"
"Llano","48299","378","21958","1721.5"
"Lubbock","48303","3479","314772","1105.2"
"Lynn","48305","94","6025","1560.2"
"McCulloch","48307","125","7823","1597.9"
"McLennan","48309","2749","259730","1058.4"
"McMullen","48311","18","721","Unreliable"
"Madison","48313","168","14427","1164.5"
"Marion","48315","187","9960","1877.5"
"Martin","48317","66","5816","1134.8"
"Mason","48319","48","4344","1105.0"
"Matagorda","48321","467","36725","1271.6"
"Maverick","48323","690","58378","1182.0"
"Medina","48325","522","52358","997.0"
"Menard","48327","41","2124","1930.3"
"Midland","48329","1317","177863","740.5"
"Milam","48331","308","24708","1246.6"
"Mills","48333","78","4840","1611.6"
"Mitchell","48335","92","8202","1121.7"
"Montague","48337","375","19962","1878.6"
"Montgomery","48339","4688","626351","748.5"
"Moore","48341","197","20654","953.8"
"Morris","48343","196","12393","1581.5"
"Motley","48345","23","1185","1940.9"
"Nacogdoches","48347","760","64753","1173.7"
"Navarro","48349","635","50694","1252.6"
"Newton","48351","214","13414","1595.3"
"Nolan","48353","229","14835","1543.6"
"Nueces","48355","3792","363148","1044.2"
"Ochiltree","48357","107","9598","1114.8"
"Oldham","48359","20","2135","936.8"
"Orange","48361","1153","82878","1391.2"
"Palo Pinto","48363","457","29320","1558.7"
"Panola","48365","391","23187","1686.3"
"Parker","48367","1424","148198","960.9"
"Parmer","48369","121","9522","1270.7"
"Pecos","48371","194","15718","1234.3"
"Polk","48373","837","52995","1579.4"
"Potter","48375","1645","116004","1418.1"
"Presidio","48377","66","6508","1014.1"
"Rains","48379","193","12552","1537.6"
"Randall","48381","1407","139899","1005.7"
"Reagan","48383","34","3833","887.0"
"Real","48385","73","3411","2140.1"
"Red River","48387","256","11995","2134.2"
"Reeves","48389","150","15949","940.5"
"Refugio","48391","110","6877","1599.5"
"Roberts","48393","13","813","Unreliable"
"Robertson","48395","235","17155","1369.9"
"Rockwall","48397","753","109888","685.2"
"Runnels","48399","163","10401","1567.2"
"Rusk","48401","684","54324","1259.1"
"Sabine","48403","194","10507","1846.4"
"San Augustine","48405","174","8248","2109.6"
"San Jacinto","48407","379","29301","1293.5"
"San Patricio","48409","770","67069","1148.1"
"San Saba","48411","100","6039","1655.9"
"Schleicher","48413","28","2761","1014.1"
"Scurry","48415","223","16662","1338.4"
"Shackelford","48417","51","3300","1545.5"
"Shelby","48419","336","24915","1348.6"
"Sherman","48421","29","3027","958.0"
"Smith","48423","2736","235806","1160.3"
"Somervell","48425","113","9139","1236.5"
"Starr","48427","721","64266","1121.9"
"Stephens","48429","144","9334","1542.7"
"Sterling","48431","14","1315","Unreliable"
"Stonewall","48433","28","1348","2077.2"
"Sutton","48435","49","3738","1310.9"
"Swisher","48437","117","7340","1594.0"
"Tarrant","48439","16418","2123347","773.2"
"Taylor","48441","1636","139200","1175.3"
"Terrell","48443","14","702","Unreliable"
"Terry","48445","175","12183","1436.4"
"Throckmorton","48447","17","1487","Unreliable"
"Titus","48449","346","32926","1050.8"
"Tom Green","48451","1439","120010","1199.1"
"Travis","48453","6989","1300503","537.4"
"Trinity","48455","255","14883","1713.4"
"Tyler","48457","322","21591","1491.4"
"Upshur","48459","557","42166","1321.0"
"Upton","48461","44","3623","1214.5"
"Uvalde","48463","328","26742","1226.5"
"Val Verde","48465","571","49028","1164.6"
"Van Zandt","48467","838","57533","1456.6"
"Victoria","48469","1040","91936","1131.2"
"Walker","48471","673","72164","932.6"
"Waller","48473","459","57452","798.9"
"Ward","48475","135","12097","1116.0"
"Washington","48477","479","35771","1339.1"
"Webb","48479","2186","277681","787.2"
"Wharton","48481","538","41685","1290.6"
"Wheeler","48483","75","4946","1516.4"
"Wichita","48485","1641","133205","1231.9"
"Wilbarger","48487","210","12552","1673.0"
"Willacy","48489","254","21161","1200.3"
"Williamson","48491","3691","617855","597.4"
"Wilson","48493","459","52023","882.3"
"Winkler","48495","89","7887","1128.4"
"Wise","48497","785","71084","1104.3"
"Wood","48499","754","46291","1628.8"
"Yoakum","48501","96","8702","1103.2"
"Young","48503","333","17904","1859.9"
"Zapata","48505","127","14172","896.1"
"Zavala","48507","156","11840","1317.6"
