Period,Hour ID,Austin,Beaumont,Bryan,Corpus Christi,Dallas,El Paso,Fort Worth,Houston,San Antonio,Waco
AM Peak,7,0.052283,0.04947,0.034835,0.044797,0.055053,0.037881,0.054731,0.062954,0.052944,0.03908
AM Peak,8,0.062006,0.059047,0.056389,0.060424,0.064482,0.062847,0.067899,0.065836,0.065012,0.054286
AM Peak,9,0.058779,0.051766,0.051602,0.055631,0.058205,0.06324,0.060926,0.057431,0.056914,0.049392
Mid-Day,10,0.054842,0.049551,0.050814,0.051133,0.050938,0.055629,0.05161,0.051152,0.049199,0.050217
Mid-Day,11,0.052886,0.052657,0.054547,0.052208,0.048748,0.053314,0.049502,0.049779,0.048551,0.054539
Mid-Day,12,0.05496,0.057662,0.060416,0.056487,0.050564,0.055433,0.051577,0.051626,0.0514,0.058946
Mid-Day,13,0.057014,0.060752,0.06505,0.059683,0.053408,0.058225,0.054267,0.05371,0.054347,0.061952
Mid-Day,14,0.057916,0.060924,0.066707,0.060673,0.054966,0.05983,0.056162,0.054729,0.055779,0.063738
Mid-Day,15,0.059972,0.062569,0.067557,0.06242,0.058653,0.062325,0.0607,0.058162,0.059264,0.066246
Mid-Day,16,0.063451,0.069425,0.070146,0.067869,0.064147,0.067486,0.067909,0.064251,0.067227,0.069151
PM Peak,17,0.065728,0.074649,0.074494,0.075794,0.069373,0.072434,0.073722,0.068989,0.073846,0.072129
PM Peak,18,0.066033,0.074688,0.078883,0.086328,0.070415,0.072859,0.07459,0.070844,0.078702,0.072199
PM Peak,19,0.0599,0.05841,0.060565,0.063339,0.062127,0.062243,0.061752,0.060611,0.064858,0.057517
Overnight,20,0.048973,0.043167,0.046853,0.044823,0.048873,0.048417,0.045633,0.047264,0.047353,0.044963
Overnight,21,0.038935,0.0336,0.037487,0.034654,0.038436,0.038448,0.034931,0.035618,0.037329,0.037499
Overnight,22,0.03294,0.026357,0.029748,0.027465,0.032385,0.031493,0.028675,0.029616,0.030908,0.030495
Overnight,23,0.025637,0.019066,0.021534,0.020524,0.025816,0.024476,0.021995,0.022901,0.023465,0.023719
Overnight,24,0.018156,0.013212,0.014508,0.014257,0.01824,0.01736,0.01527,0.015418,0.016248,0.017325
Overnight,1,0.011267,0.008315,0.008945,0.008517,0.010561,0.010308,0.009061,0.008613,0.009536,0.012126
Overnight,2,0.008068,0.006172,0.006793,0.005925,0.007211,0.007044,0.006148,0.005697,0.006607,0.009916
Overnight,3,0.007243,0.005793,0.006319,0.00519,0.00658,0.00587,0.005492,0.005288,0.005833,0.00907
Overnight,4,0.006865,0.008072,0.007107,0.00553,0.00717,0.00595,0.006318,0.00622,0.006488,0.009692
Overnight,5,0.010241,0.01777,0.010453,0.010324,0.012384,0.008419,0.011651,0.013683,0.010719,0.013129
Overnight,6,0.025904,0.036906,0.018251,0.026007,0.031265,0.018473,0.029481,0.039608,0.027475,0.022677
